"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[9.23010207 8.13857099 8.08570341 7.33022456 8.13630337 7.4394747
 7.89835619 7.20642018 7.58351916]"
"[1, 0, 2, 0, 0, 0, 0, 0, 0]","[-90.24422025   3.89163628 -90.25725411   9.83462826   9.306312
   7.72921747   6.83422382   8.92517087   9.71241448]"
"[1, 0, 0, 2, 0, 0, 0, 0, 0]","[-90.23845995   9.86546757   9.80217313 -90.25403463   9.79529384
   6.19257998   7.49503204   8.42779796   8.00997928]"
"[1, 0, 0, 0, 0, 0, 0, 0, 2]","[-90.24307274   2.45655819   9.86751762  -5.04410731   8.79011933
   7.65338325   9.79236033   7.33388764 -90.24356591]"
"[1, 2, 0, 0, 0, 0, 0, 0, 0]","[-90.2559182  -90.25780571   9.11757778   8.22907373   9.71049443
   7.93496713   9.84095648   4.43816297   7.30346765]"
"[1, 0, 0, 0, 0, 0, 2, 0, 0]","[-90.23837314   9.88792879   9.36148058   1.48620989   6.87065064
   8.30575538 -90.24033682   7.86781139   9.80016786]"
"[1, 0, 0, 0, 2, 0, 0, 0, 0]","[-91.91238529   6.52803212   6.29602718   5.06018079 -91.86664164
   6.32908865   6.27768173   5.852736     7.56854113]"
"[1, 1, 2, 0, 0, 0, 0, 0, 2]","[-52.65107106 -63.86739158 -71.8190478  -31.84487754 -29.23284822
 -11.34633557 -33.11147769 -53.75213226 -39.96      ]"
"[1, 1, 2, 1, 2, 0, 0, 0, 2]","[-57.06       -54.21126193 -54.20883584 -54.21186396 -45.23600003
 -12.8         10.           0.         -44.01644955]"
"[1, 0, 0, 0, 0, 0, 0, 2, 0]","[-90.2556464    8.71652931   9.84749977  -4.22660997   9.81604181
   8.2504026    9.05310219 -90.25070857   6.24675629]"
"[1, 1, 2, 0, 0, 0, 2, 0, 0]","[-90.19900115 -90.19900004 -90.1990024  -62.91256435   9.9
 -60.74796744 -90.19900275 -31.12575612 -13.83360359]"
"[1, 1, 0, 0, 0, 0, 2, 0, 2]","[-90.05632407 -89.4594258   10.         -41.98875677 -32.6739805
 -42.53646351 -89.88813575   9.83713693 -89.67452404]"
"[1, 1, 0, 0, 2, 0, 2, 1, 2]","[-34.02000007 -20.           9.99999998   1.3311936    0.
   1.84393544 -18.02000002 -18.02       -18.02000001]"
"[1, 1, 0, 2, 2, 1, 2, 1, 2]","[-20.         -34.02245112   9.99977699   0.           0.
 -18.02032898   0.           0.           0.        ]"
"[1, 1, 0, 2, 0, 2, 0, 0, 0]","[-88.12686041 -89.08975253  10.         -89.56816987   9.57918454
 -89.27645441 -43.70031873 -28.03522764 -18.17551383]"
"[1, 1, 2, 0, 2, 0, 0, 0, 0]","[-94.30011563 -95.10693779 -95.24068905 -50.11632757 -94.33331501
 -23.28528101   5.81335851 -53.06170775 -51.45652948]"
"[1, 1, 0, 0, 0, 0, 2, 2, 0]","[-89.29305713 -89.93051239  10.         -41.56089313 -48.85521909
 -46.86677547 -89.56814398 -89.75961182   9.88047085]"
"[1, 1, 2, 2, 1, 0, 2, 0, 0]","[-89.8984848  -89.29519005 -89.84844554 -90.03822133 -89.30495225
   9.9        -90.05569042   9.99207718  10.        ]"
"[1, 1, 2, 0, 0, 2, 0, 0, 0]","[-38.66828664 -94.06935846 -71.89119758 -51.10971651 -37.0967808
 -53.34695595 -33.09660112 -53.7856      -0.84676282]"
"[1, 1, 2, 0, 0, 0, 0, 2, 0]","[-86.10720551 -74.24972431 -91.82937103 -25.62610734  -1.98416717
  -1.50330395   9.12775631 -63.74594558   4.94357438]"
"[1, 1, 1, 0, 0, 0, 2, 2, 0]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1, 1, 0, 0, 2, 0, 0, 0, 2]","[-89.09214705 -89.29580034  10.           6.43909004 -82.36046893
   4.96984404   8.71675437  -6.18430451 -85.14670012]"
"[1, 1, 0, 0, 0, 2, 0, 2, 0]","[-54.2088     -61.65279353  10.           1.3311936    0.
   0.           3.54939018 -53.19504006   1.3311936 ]"
"[1, 1, 2, 1, 0, 2, 0, 0, 2]",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[1, 0, 0, 0, 0, 2, 0, 0, 0]","[-90.2404661    1.56946721   9.87937478   8.73615869   9.80714214
 -90.23516713   9.81354584   7.43420517   8.23147435]"
"[1, 1, 2, 2, 0, 0, 0, 0, 0]","[-90.19900009 -90.19900012 -90.19900451 -90.19900205   9.9
   4.16048375  -4.04157337 -17.90713381  -8.00857188]"
"[1, 2, 1, 2, 0, 0, 0, 0, 0]","[-90.16243568 -90.11121659 -90.15946288 -90.19482677   9.8700116
   6.04504902 -19.55335463   4.78509535   9.52849007]"
"[0, 0, 0, 0, 0, 0, 0, 2, 1]","[  7.97195248   0.67339757   0.           0.           0.3168
   0.21086107   0.         -33.24210826 -62.52424045]"
